iter	Passed	Remaining
0	14	2912
1	27	2677
2	39	2611
3	53	2600
4	66	2602
5	80	2590
6	93	2565
7	108	2606
8	121	2585
9	134	2564
10	148	2549
11	161	2527
12	174	2512
13	188	2500
14	201	2481
15	214	2464
16	229	2468
17	244	2467
18	257	2457
19	272	2451
20	287	2451
21	301	2436
22	315	2425
23	328	2407
24	342	2398
25	356	2388
26	370	2374
27	383	2353
28	396	2337
29	408	2315
30	421	2298
31	434	2281
32	447	2264
33	460	2248
34	475	2239
35	488	2223
36	500	2206
37	518	2211
38	532	2197
39	545	2181
40	558	2166
41	571	2149
42	584	2135
43	599	2125
44	612	2109
45	625	2093
46	638	2078
47	652	2066
48	666	2053
49	678	2036
50	693	2025
51	706	2010
52	719	1995
53	732	1981
54	745	1965
55	758	1950
56	771	1935
57	784	1920
58	797	1906
59	810	1891
60	823	1877
61	837	1863
62	849	1848
63	863	1835
64	877	1822
65	891	1809
66	904	1795
67	916	1780
68	933	1771
69	945	1756
70	959	1743
71	972	1729
72	986	1716
73	1000	1704
74	1013	1689
75	1025	1673
76	1039	1660
77	1052	1646
78	1067	1634
79	1080	1620
80	1094	1608
81	1108	1594
82	1123	1583
83	1136	1569
84	1149	1554
85	1162	1540
86	1174	1526
87	1188	1512
88	1200	1497
89	1213	1483
90	1226	1469
91	1239	1454
92	1252	1441
93	1266	1428
94	1279	1414
95	1293	1401
96	1307	1388
97	1323	1377
98	1339	1366
99	1354	1354
100	1368	1341
101	1383	1328
102	1397	1316
103	1411	1303
104	1424	1288
105	1438	1275
106	1450	1260
107	1464	1247
108	1477	1233
109	1490	1219
110	1503	1205
111	1516	1191
112	1528	1176
113	1540	1162
114	1553	1148
115	1566	1134
116	1580	1121
117	1593	1107
118	1606	1093
119	1619	1079
120	1634	1067
121	1650	1054
122	1662	1040
123	1676	1027
124	1690	1014
125	1702	999
126	1715	986
127	1731	973
128	1743	959
129	1757	946
130	1770	932
131	1784	919
132	1799	906
133	1815	893
134	1827	879
135	1841	866
136	1857	854
137	1871	840
138	1884	827
139	1898	813
140	1911	799
141	1925	786
142	1938	772
143	1951	758
144	1964	745
145	1978	731
146	1991	718
147	2005	704
148	2018	690
149	2032	677
150	2044	663
151	2058	649
152	2071	636
153	2085	622
154	2098	609
155	2111	595
156	2127	582
157	2142	569
158	2157	556
159	2171	542
160	2186	529
161	2200	516
162	2213	502
163	2226	488
164	2238	474
165	2250	461
166	2263	447
167	2276	433
168	2289	419
169	2303	406
170	2317	393
171	2331	379
172	2345	366
173	2363	353
174	2384	340
175	2405	327
176	2425	315
177	2446	302
178	2469	289
179	2492	276
180	2514	263
181	2538	251
182	2563	238
183	2586	224
184	2601	210
185	2616	196
186	2630	182
187	2643	168
188	2657	154
189	2672	140
190	2685	126
191	2698	112
192	2711	98
193	2725	84
194	2739	70
195	2751	56
196	2764	42
197	2777	28
198	2790	14
199	2802	0
